Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Rocket,https://www.crunchbase.com/organization/rocket,51-100,Active,https://www.getrocket.com,info@getrocket.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Software, Information Technology, Internet, Machine Learning, Recruiting",0,3,,Alcoholic beverages,,,,,,"San Francisco, California, United States",$10B+,2016-01-01,year,"TheVentureCity, New Enterprise Associates",https://www.linkedin.com/company/18076748/
Facebook,https://www.crunchbase.com/organization/facebook-ai,501-1000,Active,https://ai.meta.com/,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Hardware, Machine Learning, Software","1,633",13,Computing; Calculating,Scientific and technological services,8705701500,USD,8705701500,,,"Menlo Park, California, United States",$10B+,2004-01-01,year,"Rahim Thawer, Milliways Ventures",https://www.linkedin.com/company/facebook
Nvidia Inception,https://www.crunchbase.com/organization/nvidia-inception,10001+,Active,https://www.nvidia.com/en-us/deep-learning-ai/startups/,,,20,20,7,1,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Software",,,,,2081257545,USD,2081257545,,,"Santa Clara, California, United States",$10B+,1993-01-01,year,,https://www.linkedin.com/company/nvidia/
IBM Cloud,https://www.crunchbase.com/organization/ibm-cloud,10001+,Active,https://www.ibm.com/cloud,,(914) 499-1900,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Cloud Computing, Cloud Data Services, Machine Learning, Security",,,,,4670599948,USD,4670599948,,,"New York, New York, United States",$10B+,2011-04-07,day,,https://www.linkedin.com/groups/IBM-Cloud-Computing-2002441
Gilion,https://www.crunchbase.com/organization/gilion,51-100,Active,https://www.gilion.com/,hello@gilion.com,,5,5,5,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), FinTech, Funding Platform, Machine Learning",0,4,,Insurance; financial affairs,,,,,,"Stockholm, Stockholms Lan, Sweden",$1B to $10B,2021-01-01,year,"Henrik Garvner, Göran Garvner, Creandum, Omid Ashtari, Christer Holloman",https://www.linkedin.com/company/gilionofficial
OpenAI,https://www.crunchbase.com/organization/openai,501-1000,Active,https://www.openai.com,press@openai.com,(650) 387-6701,10,10,3,1,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software",0,3,,Scientific and technological services,,,,,,"San Francisco, California, United States",$1B to $10B,2015-12-11,day,"Thrive Capital, Bedrock, Sequoia Capital, Andreessen Horowitz, K2 Global",https://www.linkedin.com/company/openai
Databricks,https://www.crunchbase.com/organization/databricks,5001-10000,Active,https://databricks.com,help@databricks.com,+1 866 330 0121,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning",40,10,,Scientific and technological services,141784800,USD,141784800,,,"San Francisco, California, United States",$1B to $10B,2013-01-01,year,"Fidelity, NVIDIA, Gaingels, DCVC, Dragoneer Investment Group",https://www.linkedin.com/company/databricks
MIT-IBM Watson AI Lab,https://www.crunchbase.com/organization/mit-ibm-watson-ai-lab,101-250,Active,http://mitibmwatsonailab.mit.edu/,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Software, Software Engineering",,,,,,,,,,"Cambridge, Massachusetts, United States",$1B to $10B,2017-01-01,year,IBM,https://www.linkedin.com/company/mit
Mobileye,https://www.crunchbase.com/organization/mobileye-vision-technologies,1001-5000,Active,https://www.mobileye.com,pr@mobileye.com,+972 2 541 7333,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Fleet Management, InsurTech, Machine Learning, Transportation",476,28,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Jerusalem, Yerushalayim, Israel",$1B to $10B,1999-01-01,year,"Morgan Stanley, Goldman Sachs, Poalim Equity, VI Partners, Sailing Capital",https://www.linkedin.com/company/mobileye
DataArt,https://www.crunchbase.com/organization/dataart,5001-10000,Active,http://www.dataart.com,info@dataart.com,+1 212 378 4108,1,1,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Data Services, E-Commerce, Machine Learning, Software Engineering",0,3,,Scientific and technological services,77707586,USD,77707586,,,"New York, New York, United States",$1B to $10B,1997-01-01,year,"FTV Capital, Da Vinci Capital",http://www.linkedin.com/company/dataart
