Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Socure,https://www.crunchbase.com/organization/socure,501-1000,Active,http://www.socure.com,salesinfo@socure.com,866-932-9013,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cyber Security, Fraud Detection, Identity Management, Information Services, Information Technology, Machine Learning, Predictive Analytics",21,5,Computing; Calculating,Scientific and technological services,8913977,USD,8913977,,,"Incline Village, Nevada, United States",$100M to $500M,2012-09-01,day,"Third Eye Advisors, Bain Capital Ventures, T. Rowe Price, JP Morgan, Scale Venture Partners",http://www.linkedin.com/company/socure
Sift,https://www.crunchbase.com/organization/sift-science,251-500,Active,http://sift.com,info@sift.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Software","Analytics, Big Data, Fraud Detection, Network Security, Predictive Analytics",40,5,Computing; Calculating,Scientific and technological services,5710,USD,5710,,,"San Francisco, California, United States",$10M to $50M,2011-06-01,day,"Glassdoor, Union Square Ventures, Stripes, Andreessen Horowitz, Marc Benioff",https://www.linkedin.com/company/getsift
AppsFlyer,https://www.crunchbase.com/organization/appsflyer,1001-5000,Active,http://www.appsflyer.com,press@appsflyer.com,(415) 636-9430,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Software","Advertising, Advertising Platforms, Analytics, App Marketing, Business Intelligence, Digital Marketing, Mobile Advertising, Predictive Analytics, Software",,,,,15812666,USD,15812666,,,"San Francisco, California, United States",$1M to $10M,2011-04-01,day,"Eight Roads Ventures, Goldman Sachs, DTCP, Microsoft Accelerator, Magma Venture Partners",http://www.linkedin.com/company/2233984
FLYR Labs,https://www.crunchbase.com/organization/flyr,51-100,Active,http://flyrlabs.com,support@flyrlabs.com,855-908-3999,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation","Air Transportation, Analytics, Artificial Intelligence (AI), Big Data, Machine Learning, Predictive Analytics",1,6,Computing; Calculating,Scientific and technological services,1932808,USD,1932808,,,"San Francisco, California, United States",$1M to $10M,2013-01-01,year,"Beyond Capital, Amadeus, AXA Venture Partners, Cota Capital, Peter Thiel",http://www.linkedin.com/company/flyrinc
Upstage AI,https://www.crunchbase.com/organization/upstage-ai,101-250,Active,https://www.upstage.ai,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Natural Language Processing, Predictive Analytics, Software",0,2,,Scientific and technological services,,,,,,"Yongin, Ch'ungch'ong-namdo, South Korea",$1M to $10M,2020-01-01,year,"KT Corp, Mirae Asset Venture Investment, Primer Sazze Partners, SBVA, Korea Development Bank",https://www.linkedin.com/company/upstageai
LeanTaaS,https://www.crunchbase.com/organization/leantaas,251-500,Active,https://leantaas.com/,info@leantaas.com,1-650-409-3247,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Software","Health Care, Information Technology, Machine Learning, Predictive Analytics, Software",1,6,,Scientific and technological services,3714768,USD,3714768,,,"Santa Clara, California, United States",$10M to $50M,2010-01-01,year,"Sedgwick Claims Management Services, Goldman Sachs, Insight Partners, Goldman Sachs Merchant Banking Division, New York Presbyterian Ventures",https://www.linkedin.com/company/leantaas
NextRoll,https://www.crunchbase.com/organization/adroll-semantic-sugar-inc,251-500,Active,https://www.nextroll.com,info@nextroll.com,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Software","Ad Retargeting, Advertising, Email Marketing, Machine Learning, Marketing, Predictive Analytics, SaaS, Software",3,32,Computing; Calculating,Advertising; business,,,,,,"San Francisco, California, United States",$1M to $10M,2006-03-01,day,"Disruptive Ventures, Floodgate, Founders Fund, Accel, Northgate Capital",https://www.linkedin.com/company/nextroll
Prewave,https://www.crunchbase.com/organization/prewave,51-100,Active,https://www.prewave.com,info@prewave.ai,+43 1 30 50 743,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Information Technology, Machine Learning, Predictive Analytics, Risk Management, Supply Chain Management",0,1,,Advertising; business,4277174,USD,4277174,,,"Vienna, Wien, Austria",$10M to $50M,2017-01-01,year,"Creandum, Ventech, seed + speed Ventures, KOMPAS VC, Speedinvest",https://www.linkedin.com/company/prewave/
Dynamic Yield,https://www.crunchbase.com/organization/dynamic-yield,251-500,Active,https://www.dynamicyield.com/,info@dynamicyield.com,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Content and Publishing, Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","A/B Testing, Artificial Intelligence (AI), E-Commerce, Email Marketing, Enterprise Software, Personalization, Predictive Analytics, Publishing",,,,,9011250,USD,9011250,,,"New York, New York, United States",$1M to $10M,2011-01-01,year,"Naver, The New York Times, Baidu, Vertex Ventures, DTCP",http://www.linkedin.com/company/dynamic-yield
Kpler,https://www.crunchbase.com/organization/kpler-sas,501-1000,Active,http://www.kpler.com,info@kpler.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Energy, Financial Services, Information Technology, Natural Resources, Software","Analytics, Big Data, Finance, Image Recognition, Information Technology, Oil and Gas, Predictive Analytics, Software",0,2,,Telecommunications,6679749,USD,6679749,,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",$10M to $50M,2014-03-01,day,"Insight Partners, Five Arrows Growth Capita",https://www.linkedin.com/company/kpler/?originalSubdomain=fr
