Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
JetZero,https://www.crunchbase.com/organization/jetzero,101-250,Active,https://www.jetzero.aero,info@jetzero.aero,,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering","Aerospace, Manufacturing, Mechanical Design",17,0,Aircraft; Aviation; Cosmonautics,,73459,USD,73459,,,"Long Beach, California, United States",$1M to $10M,2020-01-01,year,US Air Force Reserve,https://www.linkedin.com/company/jetzero
CoreTigo,https://www.crunchbase.com/organization/coretigo,51-100,Active,https://www.coretigo.com/,info@coretigo.com,+972-747-69-10-20,,,,,,,,,"Design, Hardware, Internet Services, Manufacturing, Mobile, Science and Engineering","Industrial Automation, Industrial Engineering, Industrial Manufacturing, Internet of Things, Machinery Manufacturing, Mechanical Design, Mechanical Engineering, Network Hardware, Wireless",14,0,Electric Communication Technique,,,,,,,"Netanya, HaMerkaz, Israel",$1M to $10M,2017-01-01,year,"Lenovo, Qualcomm Ventures, Sierra Ventures, Verizon Ventures, Cardumen Capital",https://www.linkedin.com/company/coretigo
CH-Auto Technology,https://www.crunchbase.com/organization/ch-auto-technology,251-500,Active,http://www.ch-auto.com/,info@ch-auto.com,8610-81406666,,,,,,,,,"Design, Hardware, Transportation","Automotive, Electric Vehicle, Mechanical Design",,,,,,,,,,"Shunyi, Beijing, China",,2003-08-01,day,"China Merchants Securities, Peakview Capital, Ganfeng Lithium, ZGC Group, CASH Capital",https://www.linkedin.com/company/ch-auto/
Ninebot,https://www.crunchbase.com/organization/ninebot,251-500,Active,http://ninebot.com,sales@ninebot.com,(+86) 010-8482-8002,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering, Software, Transportation","Electric Vehicle, Manufacturing, Mechanical Design, Robotics, Transportation",208,32,Land Vehicles For Travelling Otherwise Than On Rails,Vehicles,613293,USD,613293,,,"Beijing, Beijing, China",$1M to $10M,2012-01-01,year,"Sequoia Capital China, Intel Capital, SDIC Fund Management, WestSummit Capital, GIC",https://www.linkedin.com/company/ninebot-inc-
ICON,https://www.crunchbase.com/organization/icon3d,251-500,Active,https://www.iconbuild.com,info@iconbuild.com,,,,,,,,,,"Design, Hardware, Manufacturing, Real Estate, Science and Engineering, Software","3D Printing, Advanced Materials, Construction, Mechanical Design, Robotics, Software",28,4,Additive Manufacturing Technology,Machines and machine tools,1620779,USD,1620779,,,"Austin, Texas, United States",$10M to $50M,2017-01-01,year,"MicroVentures, NASA, Fifth Wall, Bond, Capital Factory",https://www.linkedin.com/company/icon3dtech
RT Corporation,https://www.crunchbase.com/organization/rt-corporation,51-100,Active,https://www.rt-net.jp,shop@rt-net.jp,+81 3-6666-2566,,,,,,,,,"Consumer Electronics, Design, Hardware, Science and Engineering, Software","Computer, Mechanical Design, Robotics, Software",2,0,Hand Tools; Portable Power-Driven Tools; Manipulators,,,,,,,"Tokyo, Tokyo, Japan",,2005-09-01,month,"Mizuho Capital, Mirai Creation Fund, SPARX Group, DBJ Capital, MIRAI SOUZOU",
Keyssa,https://www.crunchbase.com/organization/keyssa,51-100,Active,http://keyssa.com/,info@keyssa.com,(650)843-5000,,,,,,,,,"Data and Analytics, Design, Hardware","Big Data, Hardware, Mechanical Design",25,4,Electric Communication Technique,Scientific and electric apparatus and instruments,1034853,USD,1034853,,,"Campbell, California, United States",$1M to $10M,2008-01-01,year,"NantWorks, Playground Global, Dolby Family Ventures, Alsop Louie Partners, Samsung Catalyst Fund",http://www.linkedin.com/company/keyssa
Infleqtion,https://www.crunchbase.com/organization/coldquanta,251-500,Active,https://www.infleqtion.com,info@infleqtion.com,(303) 440-1284,,,,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Science and Engineering, Software","Electronics, Manufacturing, Mechanical Design, Mechanical Engineering, Quantum Computing, Software",87,6,,Scientific and electric apparatus and instruments,3241481,USD,3241481,,,"Louisville, Colorado, United States",$10M to $50M,2007-01-01,year,"US Department of Energy, Innovate UK, Maverick Ventures, Sumitomo, Caruso Ventures",https://www.linkedin.com/company/infq
Corephotonics,https://www.crunchbase.com/organization/corephotonics,51-100,Active,http://corephotonics.com/,info@corephotonics.com,97236411818,,,,,,,,,"Content and Publishing, Design, Hardware, Media and Entertainment, Mobile, Software","Hardware, Mechanical Design, Mobile, Photography, Sensor, Software",248,0,Optics,,,,,,,"Tel Aviv, Tel Aviv, Israel",$10M to $50M,2012-01-01,year,"OurCrowd, Horizons Ventures, Samsung Ventures, MediaTek, MizMaa Ventures",https://www.linkedin.com/company/corephotonics-ltd/
Deepak Fasteners,https://www.crunchbase.com/organization/deepak-fasteners,251-500,Active,https://deepakfasteners.com/,sales@deepakfasteners.com,+91 - 161 - 7131111,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering","Industrial, Industrial Engineering, Manufacturing, Mechanical Design, Mechanical Engineering",0,17,,Common metals and their alloys; ores,,,,,,"Ludhiana, Punjab, India",,1958-01-01,year,"BanyanTree Finance Pvt. Ltd., Capri Xponentia Managers",https://www.linkedin.com/company/deepak-fasteners-ltd./
