Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Tarana Wireless,https://www.crunchbase.com/organization/tarana-wireless,251-500,Active,http://www.taranawireless.com,info@taranawireless.com,408-351-4085,,,,,,,,,"Hardware, Mobile","Communications Infrastructure, Mobile, Wireless",,,,,18777717,USD,18777717,,,"Milpitas, California, United States",$10M to $50M,2009-01-01,year,"I Squared Capital, Prime Movers Lab, K3 Ventures, Khosla Ventures, DIRECTV",http://www.linkedin.com/company/371069
Stream,https://www.crunchbase.com/organization/getstream-io,101-250,Active,https://getstream.io/,sales@getstream.io,,,,,,,,,,"Apps, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Communications Infrastructure, Developer APIs, Messaging, Mobile Apps, SaaS, Software",0,0,,Scientific and technological services,2269060,USD,2269060,,,"Boulder, Colorado, United States",$1M to $10M,2014-08-01,day,"Notable Capital, Techstars, Right Side Capital Management, Arthur Ventures, Social Starts",http://www.linkedin.com/company/getstream-io
Mavenir,https://www.crunchbase.com/organization/mavenir,5001-10000,Active,http://www.mavenir.com,contactus@mavenir.com,+1 469 916 4393,,,,,,,,,"Hardware, Internet Services, Software","Cloud Infrastructure, Communications Infrastructure, SaaS, Software, Telecommunications",84,23,Electric Communication Technique,Scientific and electric apparatus and instruments,256854,USD,256854,,,"Richardson, Texas, United States",$500M to $1B,2005-01-01,year,"Cisco, August Capital, Greenspring Associates, Austin Ventures, Siris Capital Group",https://www.linkedin.com/company/mavenir
Verizon,https://www.crunchbase.com/organization/verizon-communications,10001+,Active,https://www.verizon.com,,+1-800-922-0204,18,19,12,2,,,,,"Hardware, Information Technology, Mobile","Communications Infrastructure, Information Technology, Mobile, Telecommunications","7,122",207,Electric Communication Technique,Telecommunications,11150573178,USD,11150573178,,,"New York, New York, United States",$10B+,1983-10-07,day,"ATN International, U.S. Department of Defense, NYSERDA, Connect Maryland",http://www.linkedin.com/company/verizon
When I Work,https://www.crunchbase.com/organization/when-i-work,101-250,Active,http://wheniwork.com,support@wheniwork.com,651-330-4482,,,,,,,,,"Administrative Services, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Software","Communications Infrastructure, Information Technology, Management Consulting, Management Information Systems, Messaging, Productivity Tools, Real Time, SaaS, Software, Virtual Workforce",0,16,,Scientific and technological services,,,,,,"Minneapolis, Minnesota, United States",$10M to $50M,2010-07-01,day,"Bain Capital, Drive Capital, Arthur Ventures, Headline, Greycroft",https://www.linkedin.com/company/wheniwork
ujet.cx,https://www.crunchbase.com/organization/ujet,101-250,Active,https://ujet.cx,hello@ujet.cx,+1 877 438 8538,,,,,,,,,"Hardware, Information Technology, Internet Services, Other, Professional Services","Cloud Data Services, Communications Infrastructure, Customer Service, Information Technology, Small and Medium Businesses",20,2,Electric Communication Technique,Advertising; business,,,,,,"San Francisco, California, United States",$10M to $50M,2015-01-01,year,"Relay Ventures, DCM Ventures, Google Ventures, Citi Ventures, Vintage Investment Partners",https://www.linkedin.com/company/18051573
AT&T,https://www.crunchbase.com/organization/at-t,10001+,Active,https://www.att.com,contact@att.com,3145053140,50,57,11,15,,,,,"Hardware, Mobile, Other","Collaboration, Communications Infrastructure, Mobile, Service Industry, Telecommunications, Wireless",,,,,9839086170,USD,9839086170,,,"Dallas, Texas, United States",$10B+,1983-10-05,day,National Telecommunications and Information Administration,https://www.linkedin.com/company/at&t
Element,https://www.crunchbase.com/organization/new-vector-im,101-250,Active,https://element.io,contact@vector.im,,,,,,,,,,"Apps, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","Apps, Commercial, Communications Infrastructure, Information Technology, Software, VoIP",0,2,,Scientific and electric apparatus and instruments,450836,USD,450836,,,"London, England, United Kingdom",$1B to $10B,2017-07-19,day,"Automattic, Status.im, Protocol Labs, Notion Capital, Dawn Capital",https://www.linkedin.com/company/element-hq
Liberty Media,https://www.crunchbase.com/organization/libertymedia,101-250,Active,http://www.libertymedia.com,investor@Libertymedia.com,(877) 772-1518,25,30,7,4,,,,,"Commerce and Shopping, Hardware, Internet Services, Media and Entertainment, Video","Broadcasting, Communications Infrastructure, E-Commerce, Media and Entertainment, Social Media, Video",219,12,Electric Communication Technique,Scientific and technological services,1341958122,USD,1341958122,,,"Englewood, Colorado, United States",$1B to $10B,1994-01-01,year,,https://www.linkedin.com/company/liberty-media
Bitcoin,https://www.crunchbase.com/organization/bitcoin-llc,101-250,Active,https://www.bitcoin.com,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Hardware, Media and Entertainment, Payments, Software","Bitcoin, Communications Infrastructure, Hardware, Media and Entertainment",,,,,21336177,USD,21336177,,,"San Francisco, California, United States",$1B to $10B,2008-01-01,year,"Breyer Labs, Larry Zhao, Kadda Sheekoff, Ed King",https://www.linkedin.com/company/bitcoin.com
Vonage,https://www.crunchbase.com/organization/vonage,5001-10000,Active,http://www.vonage.com,press@nexmo.com,7322025221,,,,,,,,,"Apps, Hardware, Information Technology, Software","Communications Infrastructure, Developer APIs, Enterprise Applications, Information Services, Information Technology, PaaS, Telecommunications",113,5,Electric Communication Technique,Telecommunications,6720902,USD,6720902,,,"Holmdel, New Jersey, United States",$1B to $10B,2001-01-01,year,"JP Morgan Chase, Bain Capital Ventures, Meritech Capital Partners, 3i Group, Fifth Third Bank",http://www.linkedin.com/company/vonage
Alianza,https://www.crunchbase.com/organization/alianza,251-500,Active,http://www.alianza.com,info@alianza.com,(801) 802-6400,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Communications Infrastructure, SaaS, Telecommunications, Unified Communications, VoIP",16,10,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Pleasant Grove, Utah, United States",$50M to $100M,2009-01-01,day,"Stanford University, Kickstart, Signal Peak Ventures, Texas Capital Bank, Grayhawk Capital",http://www.linkedin.com/company/alianza
Zipline,https://www.crunchbase.com/organization/retail-zipline,101-250,Active,https://www.getzipline.com,michelle@retailzipline.com,,,,,,,,,,"Commerce and Shopping, Hardware, Information Technology, Professional Services, Software","Business Development, Communications Infrastructure, Information Technology, Retail, Retail Technology, SaaS, Software",0,0,,Scientific and technological services,2422650,USD,2422650,,,"San Francisco, California, United States",$10M to $50M,2014-08-18,day,"Emergence, Alchemist Accelerator, Fifth Wall, CSC Upshot, Ridge Ventures",https://www.linkedin.com/company/zipline/
Singtel,https://www.crunchbase.com/organization/singtel,10001+,Active,https://www.singtel.com,,(656)838-3388,11,13,1,,,,,,"Apps, Hardware, Internet Services, Mobile, Software","Communications Infrastructure, Enterprise Applications, Internet, Mobile, Telecommunications",103,44,Computing; Calculating,Scientific and technological services,,,,,,"Singapore, Central Region, Singapore",$10B+,1879-01-01,year,"Standard Chartered Bank, DBS Bank, United Overseas Bank, OCBC Bank of Singapore, Kohlberg Kravis Roberts",https://www.linkedin.com/company/singtel
SES,https://www.crunchbase.com/organization/ses,1001-5000,Active,http://www.ses.com,,352 710 725 1,5,7,2,,,,,,"Hardware, Messaging and Telecommunications","Communications Infrastructure, Hardware, Satellite Communication, Telecommunications, Wired Telecommunications",21,28,Electric Communication Technique,Telecommunications,,,,,,"Betzdorf, Grevenmacher, Luxembourg",$1B to $10B,1985-01-01,day,European Investment Bank,https://www.linkedin.com/company/ses/
QuSecure,https://www.crunchbase.com/organization/qusecure,51-100,Active,http://www.qusecure.com,marketing@qusecure.com,650-356-8001,,,,,,,,,"Apps, Hardware, Information Technology, Privacy and Security, Science and Engineering, Software","Communications Infrastructure, Cyber Security, Enterprise Applications, Quantum Computing, Software",7,0,Electric Communication Technique,Scientific and electric apparatus and instruments,357695,USD,357695,,,"San Mateo, California, United States",$1M to $10M,2019-02-06,day,"Techstars, Franklin Templeton, EvoNexus, United States Air Force",https://www.linkedin.com/company/qusecure/
