Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Two Hat Security,https://www.crunchbase.com/organization/community-sift,51-100,Active,http://www.twohat.com,hello@twohat.com,(855)407-0889,,,,,,,,,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Big Data, Communities, Developer Tools, Machine Learning, Natural Language Processing, SaaS, Security, Spam Filtering",3,0,Computing; Calculating,,1163075,USD,1163075,,,"Kelowna, British Columbia, Canada",$10M to $50M,2012-07-04,day,"Inovia Capital, Makers Fund, John Maloney, Taubman Capital, Shawn Abbott",https://www.linkedin.com/company/two-hat-security
TelTech Systems,https://www.crunchbase.com/organization/teltech-systems,51-100,Active,http://teltech.co,meir@teltech.co,732-276-1300,,,,,,,,,"Apps, Hardware, Information Technology, Mobile, Privacy and Security, Science and Engineering, Software","Apps, Consumer Applications, Mobile, Mobile Apps, Privacy, Robotics, Spam Filtering, Telecommunications",,,,,799356,USD,799356,,,"South Amboy, New Jersey, United States",$10M to $50M,2005-11-01,month,,http://www.linkedin.com/company/teltech-systems
Searchbug,https://www.crunchbase.com/organization/searchbug,1-10,Active,https://www.searchbug.com,support@searchbug.zohodesk.com,800-990-2939,,,,,,,,,"Commerce and Shopping, Data and Analytics, Financial Services, Information Technology, Internet Services, Other, Payments, Privacy and Security, Professional Services, Software","Database, Developer APIs, E-Commerce Platforms, Fraud Detection, Information Technology, Internet, Legal Tech, Professional Services, Real Time, Spam Filtering",,,,,2269573,USD,2269573,,,"Carlsbad, California, United States",$10M to $50M,2009-12-23,day,,https://www.linkedin.com/company/searchbug
Samsungkop,https://www.crunchbase.com/organization/mailinator,1-10,Closed,http://biggbossvote.blog/bigg-boss-vote,wan393933@gmail.com,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Computer, Email, Internet, Software, Spam Filtering",,,,,,,,,,"San Francisco, California, United States",$10M to $50M,1966-01-01,year,,
Akismet,https://www.crunchbase.com/organization/akismet,51-100,Active,https://akismet.com/,support@akismet.com,,,,,,,,,,"Information Technology, Internet Services, Software","Internet, Software, Spam Filtering",,,,,,,,,,"Shanghai, Shanghai, China",$10M to $50M,2005-10-25,day,,
SPAMfighter,https://www.crunchbase.com/organization/spamfighter,11-50,Active,http://www.spamfighter.com,info@spamfighter.com,085 888 1624,,,,,,,,,"Information Technology, Software","Software, Spam Filtering",0,8,,Scientific and electric apparatus and instruments,813462,USD,813462,,,"Copenhagen, Hovedstaden, Denmark",$10M to $50M,2003-12-01,day,,http://www.linkedin.com/company/spamfighter
Fortune Business Intelligence Group,https://www.crunchbase.com/organization/fortune-business-intelligence-group,51-100,Active,https://fortunebig.com,info@fortunebig.com,+1 512 798 0040,,,,,,,,,"Data and Analytics, Information Technology, Internet Services, Sales and Marketing","Analytics, Data Management, Email Marketing, SEO, Spam Filtering",,,,,440109,USD,440109,,,"Austin, Texas, United States",$10M to $50M,2014-01-01,year,,https://www.linkedin.com/company/fortune-business-intelligence-group-inc.
JC France Industrie,https://www.crunchbase.com/organization/jc-france-industrie,,Active,https://www.jcfranceindustrie.fr/,,+33 46-892-8990,,,,,,,,,"Information Technology, Manufacturing","Industrial, Manufacturing, Spam Filtering",,,,,,,,,,"Perpignan, Languedoc-Roussillon, France",$10M to $50M,,,,
Respondology,https://www.crunchbase.com/organization/respondology,11-50,Active,https://respondology.com/,demo@respondology.com,1 773 542 3667,,,,,,,,,"Advertising, Information Technology, Internet Services, Sales and Marketing","Advertising, Social Media Management, Spam Filtering",0,2,,Advertising; business,427763,USD,427763,,,"Boulder, Colorado, United States",$1M to $10M,2008-01-01,year,"Iron Gate Capital, Service Provider Capital, Zelkova Ventures, Boulder Heavy Industries, SJF Ventures",https://www.linkedin.com/company/repsondology
Arkose Labs,https://www.crunchbase.com/organization/arkoselabs,101-250,Active,https://www.arkoselabs.com,connect@arkoselabs.com,800-604-3319,,,,,,,,,"Financial Services, Information Technology, Payments, Privacy and Security","Cyber Security, FinTech, Fraud Detection, Network Security, Security, Spam Filtering",0,4,,Scientific and technological services,5356350,USD,5356350,,,"San Mateo, California, United States",$1M to $10M,2017-01-01,year,"Alchemist Accelerator, M12 - Microsoft's Venture Fund, U.S. Venture Partners, PayPal Ventures, Ballistic Ventures",https://www.linkedin.com/company/arkoselabs
Smyte,https://www.crunchbase.com/organization/smyte,11-50,Closed,https://www.smyte.com/,founders@smyte.com,,,,,,,,,,"Apps, Commerce and Shopping, Financial Services, Information Technology, Mobile, Payments, Privacy and Security, Software","Apps, Fraud Detection, Marketplace, Mobile, Software, Spam Filtering",0,1,,Scientific and technological services,,,,,,"San Francisco, California, United States",$1M to $10M,2014-01-01,year,"Y Combinator, Avalon Ventures, Harrison Metal, Baseline Ventures, Upside Partnership",https://www.linkedin.com/company/smyte
