Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Cencora,https://www.crunchbase.com/organization/amerisourcebergen-corporation,10001+,Active,http://www.cencora.com,taoffers@amerisourcebergen.com,610-727-7000,6,7,5,1,,,,,"Health Care, Software","Emergency Medicine, Enterprise Software, Health Care, Medical, Pharmaceutical",,,,,5165454896,USD,5165454896,,,"Conshohocken, Pennsylvania, United States",$10B+,2023-01-01,year,,https://www.linkedin.com/company/cencoraglobal/
S&P Global,https://www.crunchbase.com/organization/s-p-global,10001+,Active,https://www.spglobal.com,investor.relations@spglobal.com,+1 212 438 1000,20,31,7,4,,,,,"Data and Analytics, Design, Financial Services, Information Technology, Lending and Investments, Software","Analytics, Business Intelligence, Credit, Enterprise Software, Finance, Financial Services, Information Services, Market Research",44,318,Computing; Calculating,Insurance; financial affairs,,,,,,"New York, New York, United States",$10B+,1860-01-01,year,,https://www.linkedin.com/company/spglobal
SiteMinder,https://www.crunchbase.com/organization/siteminder,501-1000,Active,https://www.siteminder.com/,info@siteminder.com,+61 2 9221 4444,,,,,,,,,"Commerce and Shopping, Information Technology, Other, Professional Services, Software, Travel and Tourism","Customer Service, E-Commerce, Enterprise Software, Hotel, Information Technology, SaaS, Software",0,16,,Scientific and technological services,,,,,,"Sydney, New South Wales, Australia",$10B+,2006-09-26,day,"TCV, BlackRock, Fidelity International, Ellerston Capital, AustralianSuper",https://www.linkedin.com/company/302335
Singtel,https://www.crunchbase.com/organization/singtel,10001+,Active,https://www.singtel.com,,(656)838-3388,11,13,1,,,,,,"Apps, Hardware, Internet Services, Mobile, Software","Communications Infrastructure, Enterprise Applications, Internet, Mobile, Telecommunications",103,44,Computing; Calculating,Scientific and technological services,,,,,,"Singapore, Central Region, Singapore",$10B+,1879-01-01,year,"Standard Chartered Bank, DBS Bank, United Overseas Bank, OCBC Bank of Singapore, Kohlberg Kravis Roberts",https://www.linkedin.com/company/singtel
Walgreens Boots Alliance,https://www.crunchbase.com/organization/walgreens-boots-alliance,10001+,Active,http://www.walgreensbootsalliance.com/,investor.relations@wba.com,+118473153700,5,5,4,4,,,,,"Health Care, Software","Enterprise Software, Health Care, Pharmaceutical",334,804,Computing; Calculating,"Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics",,,,,,"Deerfield, Illinois, United States",$10B+,1901-01-01,year,,https://www.linkedin.com/company/walgreens-boots-alliance
Mosaic,https://www.crunchbase.com/organization/mosaic-app,11-50,Active,https://www.mosaicapp.com,founders@mosaicapp.com,(212) 597-9333,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software","Artificial Intelligence (AI), Collaboration, Enterprise Resource Planning (ERP), Enterprise Software, Machine Learning, Project Management, Software",2,0,Computing; Calculating,,25748,USD,25748,,,"New York, New York, United States",$10B+,2020-01-01,day,"Ocean Azul Partners, (ERA) Entrepreneurs Roundtable Accelerator, Las Olas Venture Capital, Tensility Venture Partners, ff Venture Capital",https://www.linkedin.com/company/mosaicnyc/
Sears Holdings Corporation,https://www.crunchbase.com/organization/sears-holdings-corporation,10001+,Active,https://jobs.sears.com/,procurement@searshc.com,+1 847-286-2500,,,,,,,,,"Commerce and Shopping, Mobile, Software","Enterprise Software, Mobile, Retail, Shopping",81,2,Computing; Calculating,Clothing; footwear; headgear,1737022,USD,1737022,,,"Hoffman Estates, Illinois, United States",$10B+,2004-01-01,year,ESL,https://www.linkedin.com/company/sears-holdings-corporation/
Rocket,https://www.crunchbase.com/organization/rocket,51-100,Active,https://www.getrocket.com,info@getrocket.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Software, Information Technology, Internet, Machine Learning, Recruiting",0,3,,Alcoholic beverages,,,,,,"San Francisco, California, United States",$10B+,2016-01-01,year,"TheVentureCity, New Enterprise Associates",https://www.linkedin.com/company/18076748/
Nokia,https://www.crunchbase.com/organization/nokia,10001+,Active,http://www.nokia.com,press.services@nokia.com,+3580104488000,35,40,11,3,,,,,"Consumer Electronics, Hardware, Internet Services, Mobile, Software","Electronics, Enterprise Software, Internet of Things, Mobile Devices, Telecommunications","24,123",282,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Espoo, Southern Finland, Finland",$10B+,1865-05-12,day,"European Investment Bank, Nordic Investment Bank",http://www.linkedin.com/company/nokia
Cisco,https://www.crunchbase.com/organization/cisco,10001+,Active,http://www.cisco.com,,+1 800-553-6387,173,221,53,23,,,,,"Hardware, Software","Communications Infrastructure, Enterprise Software, Hardware, Software","17,609",603,Electric Communication Technique,Scientific and electric apparatus and instruments,4016779772,USD,4016779772,,,"San Jose, California, United States",$10B+,1984-12-01,day,,http://www.linkedin.com/company/cisco
VMware,https://www.crunchbase.com/organization/vmware,10001+,Active,https://www.vmware.com,ethicsandcompliance@vmware.com,+1 877 486 9273,22,33,3,9,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Infrastructure, Cloud Management, Enterprise Software, Information Technology, Private Cloud, Virtualization","6,704",109,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Palo Alto, California, United States",$10B+,1998-01-01,year,"Intel, Cisco, Dell, Goldman Sachs, Veritas Technologies",http://www.linkedin.com/company/vmware
DIGITAL HEARTS HOLDINGS,https://www.crunchbase.com/organization/hearts-united-group,1001-5000,Active,https://en.digitalhearts-hd.com,,81 3-3373-0082,1,1,,,,,,,"Hardware, Other, Software","Consumer, Enterprise Software, Software, Virtual Reality",,,,,,,,,,"Tokyo, Tokyo, Japan",$10B+,2013-10-01,month,Whiz Partners,
Hewlett Packard Enterprise,https://www.crunchbase.com/organization/hewlett-packard-enterprise,10001+,Active,https://www.hpe.com,,800-633-3600,26,37,6,5,,,,,"Hardware, Information Technology, Privacy and Security, Software","Data Center, Enterprise Software, Information Technology, IT Management, Network Security","9,782",407,Computing; Calculating,Scientific and electric apparatus and instruments,2217196547,USD,2217196547,,,"Roseville, California, United States",$10B+,1939-07-02,day,,https://www.linkedin.com/company/hewlett-packard-enterprise
