Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
ExactTarget,https://www.crunchbase.com/organization/exacttarget,1001-5000,Closed,http://www.exacttarget.com,website@exacttarget.com,866-362-4538,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software","Email, Email Marketing, Marketing Automation, Social Media Marketing, Software",9,0,Computing; Calculating,,,,,,,"Indianapolis, Indiana, United States",$10B+,2000-12-01,day,"TCV, Scale Venture Partners, Greenspring Associates, Insight Partners, Battery Ventures",http://www.linkedin.com/company/exacttarget
Interpublic Group,https://www.crunchbase.com/organization/interpublic-group,10001+,Active,http://www.interpublic.com,ir@interpublic.com,(212) 704-1200,13,13,3,1,,,,,"Advertising, Sales and Marketing, Software","Advertising, Marketing Automation, Public Relations",,,,,843166242,USD,843166242,,,"New York, New York, United States",$10B+,1902-01-01,year,,http://www.linkedin.com/company/ipg
PartnerStack,https://www.crunchbase.com/organization/partnerstack,101-250,Active,https://www.PartnerStack.com,hello@partnerstack.com,,,,,,,,,,"Sales and Marketing, Software","Enterprise Software, Marketing, Marketing Automation, SaaS, Software",0,0,,Scientific and technological services,1450569,USD,1450569,,,"Toronto, Ontario, Canada",$1B to $10B,2015-06-01,day,"Creative Destruction Lab (CDL), Hexa, Soma Capital, Y Combinator, HarbourVest Partners",https://www.linkedin.com/company/partnerstack
KTM Sportmotorcycle,https://www.crunchbase.com/organization/ktm-sportmotorcycle,1001-5000,Active,https://www.ktm.com/,,43 7742 60000,,,,,,,,,"Sales and Marketing, Software, Sports","Brand Marketing, Marketing Automation, Sports",11,18,Hot-Gas Or Combustion-Product Engine Plants,Vehicles,64157700,USD,64157700,,,"Mattighofen, Oberosterreich, Austria",$1B to $10B,1953-01-01,day,,http://www.linkedin.com/company/ktm-north-america-inc-
Finch,https://www.crunchbase.com/organization/finch,51-100,Active,http://www.finch.com,lee.roquet@finch.com,208-721-3428,,,,,,,,,"Commerce and Shopping, Data and Analytics, Information Technology, Sales and Marketing, Software","Business Information Systems, Business Intelligence, Developer Platform, Digital Marketing, E-Commerce, Marketing Automation, Social Media Marketing",0,3,,Advertising; business,,,,,,"Salt Lake City, Utah, United States",$500M to $1B,2009-07-01,day,Boathouse Capital,https://www.linkedin.com/company/finch-llc
Checkpoint Systems,https://www.crunchbase.com/organization/checkpoint-systems,1001-5000,Active,http://www.checkpointsystems.com,callcenter@checkpt.com,1800 257 5540,,,,,,,,,"Manufacturing, Other, Sales and Marketing, Software","Consumer, Manufacturing, Marketing Automation",257,104,Signalling,Scientific and electric apparatus and instruments,51298965,USD,51298965,,,"Thorofare, New Jersey, United States",$500M to $1B,1969-01-01,year,Hudson River Capital Partners,https://www.linkedin.com/company/checkpoint-systems
MegaChips,https://www.crunchbase.com/organization/megachips-corporation,251-500,Closed,https://megachips.com,,+8 166-399-2884,4,4,2,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Design, Hardware, Manufacturing, Real Estate, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Electronics, Manufacturing, Marketing Automation, Product Design, Semiconductor, Smart Home, Software",486,32,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Osaka, Osaka, Japan",$500M to $1B,1990-01-01,year,,http://www.linkedin.com/company/megachips-corporation
Schunk,https://www.crunchbase.com/organization/schunk,1001-5000,Active,https://schunk.com/in_en/homepage/,info@schunk.com,+49-7133-103-0,,,,,,,,,"Manufacturing, Sales and Marketing, Science and Engineering, Software","Industrial Automation, Manufacturing, Marketing Automation",7,14,Basic Electric Elements,Scientific and electric apparatus and instruments,31364102,USD,31364102,,,"Baden, Baden-Wurttemberg, Germany",$500M to $1B,1945-01-01,year,,https://www.linkedin.com/company/schunk/
Nabors Industries,https://www.crunchbase.com/organization/nabors-industries,251-500,Active,https://www.canrig.com,jane.doe@nabors.com,+1 281 874 0035,,,,,,,,,"Hardware, Manufacturing, Other, Professional Services, Sales and Marketing, Science and Engineering, Software, Transportation","Customer Service, Machinery Manufacturing, Marketing Automation, Robotics, Supply Chain Management",0,1,,Machines and machine tools,,,,,,"Houston, Texas, United States",$500M to $1B,1995-01-01,year,,https://www.linkedin.com/company/nabors-industries/
The Design Group,https://www.crunchbase.com/organization/the-design-group,1-10,Active,http://www.thedesigngrouponline.com,admin@thedesigngrouponline.com,+1 843 608 3839,,,,,,,,,"Data and Analytics, Design, Sales and Marketing, Software","Digital Marketing, Email Marketing, Market Research, Marketing, Marketing Automation, Web Design, Web Development",,,,,214576,USD,214576,,,"Charleston, South Carolina, United States",$500M to $1B,2009-01-01,year,,https://www.linkedin.com/company/the-design-group-charleston/
