Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Perplexity AI,https://www.crunchbase.com/organization/perplexity-ai,51-100,Active,https://www.perplexity.ai,support@perplexity.ai,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Generative AI, Search Engine, Software",0,0,,Scientific and electric apparatus and instruments,,,,,,"San Francisco, California, United States",$10M to $50M,2022-01-01,year,"NVIDIA, Kindred Ventures, Nat Friedman, Jeff Bezos, E1 Ventures",https://www.linkedin.com/company/perplexity-ai
Jasper,https://www.crunchbase.com/organization/jasper-ai,101-250,Active,https://www.jasper.ai,hey@jasper.ai,(512) 262-9834,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software","Artificial Intelligence (AI), Content, Content Creators, Generative AI",,,,,3150900,USD,3150900,,,"Montréal, Quebec, Canada",$50M to $100M,2015-02-11,day,"Y Combinator, AAF Management Ltd., Four Cities Capital, Founders Circle Capital, Insight Partners",https://www.linkedin.com/company/heyjasperai
Pinecone,https://www.crunchbase.com/organization/pinecone,51-100,Active,https://www.pinecone.io,info@pinecone.io,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Database, Generative AI, Semantic Search, Vertical Search",0,4,,Scientific and technological services,,,,,,"New York, New York, United States",$1M to $10M,2019-01-01,year,"ICONIQ Growth, Andreessen Horowitz, Wing Venture Capital, Sahin Boydas, Tiger Global Management",https://www.linkedin.com/company/pinecone-io
Writer,https://www.crunchbase.com/organization/writer,51-100,Active,http://writer.com,marketing@writer.com,(415) 400-5299,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Software","Content, Generative AI, Natural Language Processing, Productivity Tools, Software, Virtual Assistant",1,1,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"San Francisco, California, United States",$10M to $50M,2020-08-30,day,"Vanguard, Accenture, Gradient Ventures, ICONIQ Growth, Scott Belsky",http://www.linkedin.com/company/getwriter
Kore.ai,https://www.crunchbase.com/organization/kore-ai,501-1000,Active,https://kore.ai,info@kore.ai,(844) 756-7324,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Collaboration, Enterprise Software, Generative AI, Machine Learning, Natural Language Processing",9,1,,Scientific and electric apparatus and instruments,847578,USD,847578,,,"Orlando, Florida, United States",$100M to $500M,2013-01-01,year,"NVIDIA, FTV Capital, Vistara Growth, PNC, Dallas Venture Capital",https://www.linkedin.com/company/kore-inc
Aleph Alpha,https://www.crunchbase.com/organization/aleph-alpha,51-100,Active,https://aleph-alpha.com,info@aleph-alpha.com,+49 176 466 977 30,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software",,,,,174481,USD,174481,,,"Heidelberg, Baden-Wurttemberg, Germany",$10M to $50M,2019-01-31,day,"SAP, NVIDIA, Intel, Public, Earlybird Venture Capital",https://www.linkedin.com/company/aleph-alpha
xAI,https://www.crunchbase.com/organization/xai,101-250,Active,https://x.ai,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning",,,,,1606428,USD,1606428,,,"Austin, Texas, United States",$10M to $50M,2023-07-12,day,Roman Smolevskiy,https://www.linkedin.com/company/xaicompany
MosaicML,https://www.crunchbase.com/organization/mosaic-ml,101-250,Active,https://www.mosaicml.com,customers@mosaicml.com,(+1)650-669-8149,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, Generative AI, Machine Learning, Natural Language Processing, Software",0,2,,Scientific and electric apparatus and instruments,,,,,,"San Francisco, California, United States",$10M to $50M,2021-01-01,year,"DCVC, Playground Global, Correlation Ventures, Frontline Ventures, AME Cloud Ventures",https://www.linkedin.com/company/mosaicml
Guru,https://www.crunchbase.com/organization/guru-technologies,251-500,Active,http://www.getguru.com,,,,,,,,,,,"Administrative Services, Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Applications, Enterprise Software, Generative AI, IT Infrastructure, Knowledge Management, Natural Language Processing, SaaS, Search Engine, Semantic Search",,,,,5135123,USD,5135123,,,"Philadelphia, Pennsylvania, United States",$1M to $10M,2013-01-01,year,"Thrive Capital, Emergence, MSD Capital, Accel, Slack Fund",https://www.linkedin.com/company/getguru
Moonshot AI,https://www.crunchbase.com/organization/dark-side-of-the-moon,101-250,Active,https://www.moonshot.ai,growth@msh.team,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Generative AI, Machine Learning, Software",,,,,,,,,,"Haidian, Beijing, China",,2023-03-01,day,"Alibaba Group, Meituan, Xiaohongshu, Sequoia Capital China, ZhenFund",https://www.linkedin.com/company/moonshot-ai-linkedin
Colossyan,https://www.crunchbase.com/organization/colossyan,51-100,Active,https://www.colossyan.com,info@colossyan.com,,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software, Video","Artificial Intelligence (AI), Audio, Generative AI, Media and Entertainment, Software, Video, Video Editing",0,2,,Education; entertainment,,,,,,"Wilmington, Delaware, United States",$10M to $50M,2020-01-01,year,"Lakestar, APX, LAUNCHub Ventures, Day One Capital, Oktogon Ventures",https://www.linkedin.com/company/colossyan
Qualified.com,https://www.crunchbase.com/organization/qualified-com,101-250,Active,https://www.qualified.com,hello@qualified.com,(415) 987-9326,,,,,,,,,"Artificial Intelligence (AI), Messaging and Telecommunications, Other, Sales and Marketing, Software","B2B, Chatbot, Generative AI, Marketing, Marketing Automation, Meeting Software",0,0,,Advertising; business,3182400,USD,3182400,,,"San Francisco, California, United States",Less than $1M,2018-08-18,day,"Tiger Global Management, Norwest Venture Partners, Redpoint, Salesforce Ventures, Sapphire Ventures",https://www.linkedin.com/company/qualified-com/
Deepbrain AI,https://www.crunchbase.com/organization/moneybrain,101-250,Active,https://www.deepbrain.io/,global@deepbrain.io,650-279-9646,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software","Artificial Intelligence (AI), Generative AI, Machine Learning, Professional Services",30,0,Musical Instruments; Acoustics,,,,,,,"Palo Alto, California, United States",$1M to $10M,2016-06-29,day,"KB Investment, IMM Investment, Korea Development Bank, IDG Capital, L&S Venture Capital",https://www.linkedin.com/company/deepbrain-global
Persado,https://www.crunchbase.com/organization/persado,251-500,Active,http://www.persado.com,info@persado.com,+1 646 678 3400,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Content Creators, Content Marketing, Direct Marketing, Enterprise Software, Generative AI, InsurTech, Machine Learning, Natural Language Processing, Software",,,,,6482885,USD,6482885,,,"New York, New York, United States",$10M to $50M,2012-12-12,day,"Bain Capital Ventures, American Express, Goldman Sachs, Citi Ventures, American Express Ventures",http://www.linkedin.com/company/persado
Symbl.ai,https://www.crunchbase.com/organization/rammer-ai,51-100,Active,https://symbl.ai,founders@symbl.ai,+1 408 660 0710,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Developer APIs, Generative AI, Information Technology",,,,,486249,USD,486249,,,"Seattle, Washington, United States",$1M to $10M,2018-05-05,day,"Techstars, SkyDeck Berkeley, GreatPoint Ventures, TechNexus Venture Collaborative, Crosscut Ventures",https://www.linkedin.com/company/symblai/
SuperAnnotate,https://www.crunchbase.com/organization/superannotate-ai,51-100,Active,https://superannotate.com,info@superannotate.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, Data Collection and Labeling, Generative AI, Machine Learning, Natural Language Processing, SaaS, Software",,,,,729374,USD,729374,,,"San Mateo, California, United States",$1M to $10M,2019-01-01,month,"Runa Capital, Berkeley SkyDeck Fund, Plug and Play, Fathom Capital, SmartGateVC",https://www.linkedin.com/company/superannotate/
IDVerse - An OCR Labs Company,https://www.crunchbase.com/organization/ocr-labs,101-250,Active,https://idverse.com/,hello@idverse.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Information Technology, Payments, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, FinTech, Fraud Detection, Generative AI, Identity Management, Information Technology",0,3,,Scientific and technological services,,,,,,"London, England, United Kingdom",$1M to $10M,2014-01-01,year,"Equable Capital, OYAK",https://www.linkedin.com/company/idverse/
VideoVerse,https://www.crunchbase.com/organization/videoverse,251-500,Active,https://vverse.ai/,,,2,2,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software, Sports, Video","Artificial Intelligence (AI), Generative AI, Media and Entertainment, Sports, Video, Video Editing",,,,,,,,,,"Los Angeles, California, United States",$50M to $100M,2016-01-01,year,"Inflection Point Ventures, Artesian VC, Venture Catalysts, Google for Startups, 9Unicorns Accelerator Fund",https://www.linkedin.com/company/videoverse/
