Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Adobe,https://www.crunchbase.com/organization/adobe-systems,10001+,Active,http://www.adobe.com,,408-536-6000,22,28,7,2,,,,,"Content and Publishing, Data and Analytics, Design, Media and Entertainment, Professional Services, Software","Consulting, Enterprise Software, Graphic Design, Image Recognition, Photo Editing, SaaS, Software, UX Design, Web Design","5,728",469,Computing; Calculating,Scientific and electric apparatus and instruments,1358442216,USD,1358442216,,,"San Jose, California, United States",$10B+,1982-01-01,year,Apple,http://www.linkedin.com/company/adobe
3dcart,https://www.crunchbase.com/organization/3dcart-shopping-cart-software,51-100,Active,https://3dcart.com/,gil@3dcart.com,800-828-6650,,,,,,,,,"Commerce and Shopping, Design, Internet Services, Software","E-Commerce, E-Commerce Platforms, SaaS, Web Design, Web Development",0,1,,Scientific and electric apparatus and instruments,1642846,USD,1642846,,,"Tamarac, Florida, United States",$10B+,1997-05-01,day,,http://www.linkedin.com/company/3dcart.com
Verizon Small Business Essentials,https://www.crunchbase.com/organization/yahoo-small-business,10001+,Active,https://www.verizon.com/business/small-business-essentials,,+1-833-740-1740,,,,,,,,,"Design, Internet Services","Domain Registrar, Web Design, Web Hosting",,,,,11150573178,USD,11150573178,,,"Sunnyvale, California, United States",$10B+,1983-01-01,year,,https://www.linkedin.com/company/yahoosmallbusiness/
Squarespace,https://www.crunchbase.com/organization/squarespace,1001-5000,Active,http://www.squarespace.com,press@squarespace.com,+1 646-580-3456,,,,,,,,,"Commerce and Shopping, Content and Publishing, Design, Internet Services, Media and Entertainment, Software","Developer Tools, E-Commerce Platforms, Publishing, Software, Web Design",5,19,Information Storage,Scientific and electric apparatus and instruments,66893750,USD,66893750,,,"New York, New York, United States",$1B to $10B,2003-01-01,year,"Fidelity, Employee Stock Option Fund, Dragoneer Investment Group, T. Rowe Price, Accel",http://www.linkedin.com/company/squarespace
WordPress,https://www.crunchbase.com/organization/wordpress,101-250,Active,https://wordpress.org/,,,,,,,,,,,"Design, Internet Services, Software","Internet, Software, Web Design, Web Development",,,,,62112,USD,62112,,,"San Francisco, California, United States",$1B to $10B,2000-01-01,year,,https://www.linkedin.com/company/wordpress/
Newfold Digital,https://www.crunchbase.com/organization/newfold-digital,1001-5000,Active,https://newfold.com,,,,,,,,,,,"Design, Information Technology, Internet Services, Sales and Marketing, Software","Domain Registrar, Information Technology, SEO, Web Design, Web Development, Web Hosting",15,48,Computing; Calculating,Scientific and technological services,84624793,USD,84624793,,,"Jacksonville, Florida, United States",$1B to $10B,1999-01-01,year,Clearlake Capital Group,https://www.linkedin.com/company/newfold
Photon,https://www.crunchbase.com/organization/photon-infotech-p-ltd,5001-10000,Active,https://www.photon.in,sales@photon.in,972-243-3233,,,,,,,,,"Apps, Commerce and Shopping, Design, Information Technology, Mobile, Software","E-Commerce, Information Technology, Mobile Apps, Web Design, Web Development",0,2,,Advertising; business,,,,,,"London, England, United Kingdom",$1B to $10B,2007-01-01,year,,https://www.linkedin.com/company/photon-interactive
Microsemi,https://www.crunchbase.com/organization/microsemi-corporation,5001-10000,Active,http://www.microsemi.com/,,(800)713-4113,2,3,2,,,,,,"Design, Hardware, Science and Engineering, Software","Developer Platform, Semiconductor, Web Design",206,33,Electric Communication Technique,Scientific and electric apparatus and instruments,102597854,USD,102597854,,,"Aliso Viejo, California, United States",$1B to $10B,1960-01-01,year,,https://www.linkedin.com/company/microsemi
The Real Yellow Pages,https://www.crunchbase.com/organization/the-real-yellow-pages,1001-5000,Active,https://yellowpages.com,businessdevelopment@thryv.com,+1-866-794-0889,,,,,,,,,"Advertising, Design, Internet Services, Sales and Marketing","Advertising, Internet, Marketing, Web Design",,,,,,,,,,"Atlanta, Georgia, United States",$1B to $10B,2012-01-01,day,,https://www.linkedin.com/company/yp/
"URBN (Urban Outfitters, Anthropologie Group, Free People, & Vetri...",https://www.crunchbase.com/organization/urbn-urban-outfitters-anthropologie-group-free-people-vetri,10001+,Active,http://urbn.com,pr@urbn.com,215-454-5500,,,,,,,,,"Clothing and Apparel, Community and Lifestyle, Design","Apparel, Fashion, Lifestyle, Web Design",,,,,,,,,,"Philadelphia, Pennsylvania, United States",$1B to $10B,1970-01-01,year,,https://www.linkedin.com/company/urban-outfitters-inc
